Timestamp,Proximity Distance (cm),Intruder Detected,Force Detected,Soft Alarm Triggered,Hard Alarm Triggered,Notification Type,Notification Sent,Alarm Reset Time (s),Event Type,System Uptime (s)
2023-07-01 16:58:38,76,1,0,0,0,,0,0,No Event,316
2023-07-01 17:05:48,2,0,1,0,1,Force Alert,1,10,Force Detection,322
2023-07-01 17:12:14,20,1,1,1,1,Force Alert,1,20,Force Detection,327
2023-07-01 17:16:58,51,0,0,0,0,,0,0,No Event,331
2023-07-01 17:27:13,16,0,1,0,1,Force Alert,1,8,Force Detection,332
2023-07-01 17:43:17,48,0,0,0,0,,0,0,No Event,341
2023-07-01 17:52:52,85,0,1,0,1,Force Alert,1,13,Force Detection,345
2023-07-01 18:01:35,21,0,0,0,0,,0,0,No Event,353
2023-07-01 18:44:27,5,0,0,0,0,,0,0,No Event,360
2023-07-01 18:57:59,64,0,0,0,0,,0,0,No Event,368
2023-07-01 19:19:35,23,0,0,0,0,,0,0,No Event,377
2023-07-01 19:20:22,20,0,0,0,0,,0,0,No Event,386
2023-07-01 19:22:18,87,0,1,0,1,Force Alert,1,13,Force Detection,387
2023-07-01 19:31:25,25,1,1,1,1,Force Alert,1,9,Force Detection,393
2023-07-01 19:43:22,79,0,0,0,0,,0,0,No Event,395
2023-07-01 19:50:20,10,1,1,1,1,Force Alert,1,18,Force Detection,396
2023-07-01 19:52:14,49,0,1,0,1,Force Alert,1,17,Force Detection,401
2023-07-01 19:54:33,12,1,0,1,0,Proximity Warning,1,0,Proximity Detection,403
2023-07-01 20:00:37,96,0,0,0,0,,0,0,No Event,412
2023-07-01 20:03:03,10,1,0,1,0,Proximity Warning,1,0,Proximity Detection,417
2023-07-01 20:15:57,53,1,1,0,1,Force Alert,1,8,Force Detection,424
2023-07-01 20:20:37,76,0,1,0,1,Force Alert,1,17,Force Detection,432
2023-07-01 20:21:19,8,0,0,0,0,,0,0,No Event,436
2023-07-01 21:14:19,73,0,0,0,0,,0,0,No Event,444
2023-07-01 21:15:38,29,1,0,1,0,Proximity Warning,1,0,Proximity Detection,447
2023-07-01 21:25:58,48,1,1,1,1,Force Alert,1,11,Force Detection,456
2023-07-01 21:34:24,13,0,0,0,0,,0,0,No Event,460
2023-07-01 21:35:22,97,1,0,0,0,,0,0,No Event,462
2023-07-01 21:38:44,9,1,1,1,1,Force Alert,1,15,Force Detection,468
2023-07-01 22:16:01,16,1,0,1,0,Proximity Warning,1,0,Proximity Detection,476
2023-07-01 22:16:17,94,0,0,0,0,,0,0,No Event,480
2023-07-01 22:21:12,82,1,1,0,1,Force Alert,1,7,Force Detection,482
2023-07-01 22:25:46,73,0,0,0,0,,0,0,No Event,490
2023-07-01 22:29:02,38,0,1,0,1,Force Alert,1,16,Force Detection,498
2023-07-01 23:12:09,85,0,0,0,0,,0,0,No Event,502
2023-07-01 23:21:31,30,0,0,0,0,,0,0,No Event,503
2023-07-01 23:21:55,90,1,0,0,0,,0,0,No Event,507
2023-07-01 23:33:46,91,1,1,0,1,Force Alert,1,20,Force Detection,509
2023-07-01 23:37:32,48,1,0,1,0,Proximity Warning,1,0,Proximity Detection,517
2023-07-01 23:46:10,18,0,1,0,1,Force Alert,1,17,Force Detection,521
2023-07-05 14:00:43,86,1,1,0,1,Force Alert,1,20,Force Detection,524
2023-07-05 14:16:17,63,0,0,0,0,,0,0,No Event,525
2023-07-05 14:47:07,4,0,1,0,1,Force Alert,1,12,Force Detection,529
2023-07-05 14:59:29,42,0,1,0,1,Force Alert,1,18,Force Detection,533
2023-07-05 15:00:30,64,0,0,0,0,,0,0,No Event,538
2023-07-05 15:02:50,96,1,0,0,0,,0,0,No Event,541
2023-07-05 15:13:43,17,0,1,0,1,Force Alert,1,8,Force Detection,546
2023-07-05 15:47:06,21,1,1,1,1,Force Alert,1,16,Force Detection,554
2023-07-05 16:24:46,19,0,1,0,1,Force Alert,1,11,Force Detection,559
2023-07-05 16:28:38,9,0,1,0,1,Force Alert,1,11,Force Detection,562
2023-07-05 17:05:39,81,1,0,0,0,,0,0,No Event,566
2023-07-05 17:10:42,47,1,0,1,0,Proximity Warning,1,0,Proximity Detection,570
2023-07-05 17:16:17,81,1,1,0,1,Force Alert,1,8,Force Detection,573
2023-07-05 17:34:19,5,1,0,1,0,Proximity Warning,1,0,Proximity Detection,578
2023-07-05 17:35:15,26,1,1,1,1,Force Alert,1,5,Force Detection,579
2023-07-05 17:52:10,29,0,0,0,0,,0,0,No Event,588
2023-07-05 17:56:39,80,0,0,0,0,,0,0,No Event,595
2023-07-05 18:29:29,42,0,0,0,0,,0,0,No Event,603
2023-07-05 18:39:15,86,1,0,0,0,,0,0,No Event,611
2023-07-05 18:42:52,55,1,1,0,1,Force Alert,1,7,Force Detection,612
2023-07-05 19:00:49,14,0,0,0,0,,0,0,No Event,618
2023-07-05 19:06:21,1,1,0,1,0,Proximity Warning,1,0,Proximity Detection,625
2023-07-05 19:13:14,88,0,1,0,1,Force Alert,1,10,Force Detection,627
2023-07-05 19:20:20,30,0,0,0,0,,0,0,No Event,633
2023-07-05 19:38:20,23,1,1,1,1,Force Alert,1,8,Force Detection,637
2023-07-05 19:39:42,47,0,1,0,1,Force Alert,1,16,Force Detection,642
2023-07-05 19:54:52,4,0,0,0,0,,0,0,No Event,647
2023-07-05 20:16:17,20,1,1,1,1,Force Alert,1,9,Force Detection,653
2023-07-05 20:24:03,35,0,1,0,1,Force Alert,1,12,Force Detection,657
2023-07-05 21:06:14,12,0,0,0,0,,0,0,No Event,664
2023-07-05 21:13:10,85,1,0,0,0,,0,0,No Event,665
2023-07-05 21:22:19,24,1,1,1,1,Force Alert,1,5,Force Detection,670
2023-07-05 21:38:36,52,1,0,0,0,,0,0,No Event,671
2023-07-05 21:44:19,1,1,0,1,0,Proximity Warning,1,0,Proximity Detection,678
2023-07-05 21:50:34,18,0,1,0,1,Force Alert,1,17,Force Detection,686
2023-07-05 22:26:14,39,0,1,0,1,Force Alert,1,8,Force Detection,693
2023-07-05 22:33:58,65,1,0,0,0,,0,0,No Event,701
2023-07-05 23:40:09,58,0,1,0,1,Force Alert,1,18,Force Detection,708
2023-07-06 00:06:28,15,0,0,0,0,,0,0,No Event,711
2023-07-06 00:08:10,18,0,0,0,0,,0,0,No Event,719
2023-07-06 00:18:51,12,0,0,0,0,,0,0,No Event,727
2023-07-06 00:30:35,84,0,1,0,1,Force Alert,1,15,Force Detection,732
2023-07-06 00:33:13,96,0,1,0,1,Force Alert,1,8,Force Detection,738
2023-07-06 00:35:50,46,1,0,1,0,Proximity Warning,1,0,Proximity Detection,745
2023-07-06 00:40:52,27,1,1,1,1,Force Alert,1,15,Force Detection,754
2023-07-06 00:55:02,69,0,0,0,0,,0,0,No Event,755
2023-07-06 01:12:49,63,0,1,0,1,Force Alert,1,18,Force Detection,756
2023-07-06 02:24:42,68,0,0,0,0,,0,0,No Event,765
2023-07-06 03:18:01,16,0,1,0,1,Force Alert,1,9,Force Detection,769
2023-07-06 03:23:13,8,1,0,1,0,Proximity Warning,1,0,Proximity Detection,775
2023-07-06 03:36:57,31,1,0,1,0,Proximity Warning,1,0,Proximity Detection,780
2023-07-06 03:38:28,46,1,0,1,0,Proximity Warning,1,0,Proximity Detection,789
2023-07-06 03:52:59,56,1,0,0,0,,0,0,No Event,795
2023-07-06 04:05:56,50,1,1,0,1,Force Alert,1,6,Force Detection,803
2023-07-06 04:20:00,4,0,1,0,1,Force Alert,1,9,Force Detection,809
2023-07-06 04:34:20,49,1,1,1,1,Force Alert,1,7,Force Detection,811
2023-07-06 05:07:26,37,0,1,0,1,Force Alert,1,13,Force Detection,820
2023-07-06 05:30:13,82,1,1,0,1,Force Alert,1,12,Force Detection,829
2023-07-06 05:33:16,12,1,1,1,1,Force Alert,1,6,Force Detection,830
2023-07-06 05:35:00,12,1,0,1,0,Proximity Warning,1,0,Proximity Detection,835
2023-07-06 05:51:24,33,1,0,1,0,Proximity Warning,1,0,Proximity Detection,844
2023-07-06 06:01:42,22,0,0,0,0,,0,0,No Event,853
2023-07-06 06:06:23,66,0,1,0,1,Force Alert,1,7,Force Detection,857
2023-07-06 06:13:01,46,0,1,0,1,Force Alert,1,18,Force Detection,865
2023-07-06 06:14:20,24,1,1,1,1,Force Alert,1,12,Force Detection,871
2023-07-06 06:16:59,21,0,0,0,0,,0,0,No Event,878
2023-07-06 06:19:33,74,1,0,0,0,,0,0,No Event,879
2023-07-06 06:21:26,34,1,1,1,1,Force Alert,1,17,Force Detection,882
2023-07-06 06:22:35,69,0,0,0,0,,0,0,No Event,883
2023-07-06 06:22:44,53,0,1,0,1,Force Alert,1,15,Force Detection,884
2023-07-06 06:24:12,51,1,1,0,1,Force Alert,1,15,Force Detection,892
2023-07-06 06:29:19,33,0,0,0,0,,0,0,No Event,895
2023-07-06 06:42:17,73,1,1,0,1,Force Alert,1,11,Force Detection,902
2023-07-06 06:54:26,16,0,0,0,0,,0,0,No Event,906
2023-07-06 06:59:34,54,0,0,0,0,,0,0,No Event,913
2023-07-06 07:08:27,35,0,1,0,1,Force Alert,1,16,Force Detection,921
2023-07-06 07:25:08,59,1,1,0,1,Force Alert,1,6,Force Detection,924
2023-07-06 07:37:44,66,1,0,0,0,,0,0,No Event,928
2023-07-06 07:52:02,92,0,1,0,1,Force Alert,1,10,Force Detection,935
2023-07-06 08:26:47,8,0,1,0,1,Force Alert,1,11,Force Detection,938
2023-07-06 08:27:34,84,1,0,0,0,,0,0,No Event,940
2023-07-06 08:49:59,55,1,0,0,0,,0,0,No Event,949
2023-07-06 08:50:17,8,0,0,0,0,,0,0,No Event,951
2023-07-06 09:06:22,2,0,1,0,1,Force Alert,1,19,Force Detection,958
2023-07-06 09:13:35,37,1,0,1,0,Proximity Warning,1,0,Proximity Detection,960
2023-07-06 09:44:58,93,0,0,0,0,,0,0,No Event,965
2023-07-06 09:54:45,1,0,0,0,0,,0,0,No Event,968
2023-07-06 09:59:25,95,0,1,0,1,Force Alert,1,18,Force Detection,976
2023-07-06 10:01:22,64,1,1,0,1,Force Alert,1,5,Force Detection,982
2023-07-06 10:21:11,43,0,0,0,0,,0,0,No Event,984
2023-07-06 10:31:31,94,0,0,0,0,,0,0,No Event,985
2023-07-06 11:27:56,16,1,1,1,1,Force Alert,1,12,Force Detection,991
2023-07-06 12:11:13,88,1,0,0,0,,0,0,No Event,995
2023-07-06 13:09:58,3,0,1,0,1,Force Alert,1,17,Force Detection,998
2023-07-06 13:17:43,1,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1002
2023-07-06 13:21:19,31,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1010
2023-07-06 13:23:17,71,1,0,0,0,,0,0,No Event,1015
2023-07-06 13:37:29,1,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1020
2023-07-06 13:38:25,5,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1026
2023-07-06 13:51:41,2,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1029
2023-07-10 04:01:40,55,1,1,0,1,Force Alert,1,16,Force Detection,1036
2023-07-10 04:16:51,32,0,0,0,0,,0,0,No Event,1039
2023-07-10 04:19:39,7,0,1,0,1,Force Alert,1,10,Force Detection,1043
2023-07-10 04:31:17,59,0,1,0,1,Force Alert,1,11,Force Detection,1050
2023-07-10 04:34:58,70,1,1,0,1,Force Alert,1,19,Force Detection,1055
2023-07-10 04:57:36,38,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1062
2023-07-10 04:59:58,88,1,0,0,0,,0,0,No Event,1064
2023-07-10 05:15:46,79,0,0,0,0,,0,0,No Event,1067
2023-07-10 05:21:19,49,0,0,0,0,,0,0,No Event,1074
2023-07-10 05:36:23,70,1,0,0,0,,0,0,No Event,1083
2023-07-10 05:39:30,96,1,0,0,0,,0,0,No Event,1088
2023-07-10 05:54:11,17,0,0,0,0,,0,0,No Event,1097
2023-07-10 07:10:30,99,1,1,0,1,Force Alert,1,6,Force Detection,1099
2023-07-10 07:35:56,50,1,1,0,1,Force Alert,1,14,Force Detection,1108
2023-07-10 07:41:52,26,0,1,0,1,Force Alert,1,14,Force Detection,1109
2023-07-10 07:50:06,40,0,1,0,1,Force Alert,1,8,Force Detection,1114
2023-07-10 08:08:59,22,1,1,1,1,Force Alert,1,5,Force Detection,1122
2023-07-10 08:24:45,75,1,0,0,0,,0,0,No Event,1125
2023-07-10 08:25:26,90,0,0,0,0,,0,0,No Event,1128
2023-07-10 08:33:33,69,1,0,0,0,,0,0,No Event,1133
2023-07-10 08:39:15,73,1,0,0,0,,0,0,No Event,1142
2023-07-10 08:44:21,95,1,1,0,1,Force Alert,1,13,Force Detection,1147
2023-07-10 09:03:59,58,1,0,0,0,,0,0,No Event,1149
2023-07-10 09:08:43,61,1,0,0,0,,0,0,No Event,1150
2023-07-10 09:29:07,21,1,1,1,1,Force Alert,1,8,Force Detection,1153
2023-07-10 09:48:35,11,0,1,0,1,Force Alert,1,12,Force Detection,1154
2023-07-10 10:05:46,81,1,0,0,0,,0,0,No Event,1159
2023-07-10 10:18:14,50,0,0,0,0,,0,0,No Event,1162
2023-07-10 10:20:55,12,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1168
2023-07-10 10:21:50,16,0,0,0,0,,0,0,No Event,1170
2023-07-10 10:29:05,69,1,1,0,1,Force Alert,1,12,Force Detection,1177
2023-07-10 11:44:57,8,1,1,1,1,Force Alert,1,13,Force Detection,1181
2023-07-10 12:02:18,11,1,1,1,1,Force Alert,1,14,Force Detection,1184
2023-07-10 12:11:58,18,0,1,0,1,Force Alert,1,5,Force Detection,1190
2023-07-10 12:24:31,91,1,0,0,0,,0,0,No Event,1193
2023-07-10 12:24:33,11,0,0,0,0,,0,0,No Event,1200
2023-07-10 12:32:54,50,0,1,0,1,Force Alert,1,16,Force Detection,1206
2023-07-10 12:53:37,28,0,0,0,0,,0,0,No Event,1213
2023-07-10 12:57:01,37,0,0,0,0,,0,0,No Event,1215
2023-07-10 13:32:22,80,1,1,0,1,Force Alert,1,11,Force Detection,1223
2023-07-10 13:46:40,74,0,0,0,0,,0,0,No Event,1226
2023-07-10 13:53:12,49,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1231
2023-07-10 14:06:21,72,1,1,0,1,Force Alert,1,7,Force Detection,1235
2023-07-10 14:11:04,36,0,1,0,1,Force Alert,1,14,Force Detection,1244
2023-07-10 14:13:04,66,0,1,0,1,Force Alert,1,7,Force Detection,1248
2023-07-10 14:15:57,70,0,1,0,1,Force Alert,1,8,Force Detection,1249
2023-07-10 14:23:53,26,1,1,1,1,Force Alert,1,12,Force Detection,1256
2023-07-10 14:24:26,64,0,1,0,1,Force Alert,1,5,Force Detection,1265
2023-07-10 14:35:23,23,0,1,0,1,Force Alert,1,14,Force Detection,1273
2023-07-10 14:40:27,91,1,1,0,1,Force Alert,1,13,Force Detection,1274
2023-07-10 14:54:28,7,0,0,0,0,,0,0,No Event,1277
2023-07-10 15:21:30,2,0,0,0,0,,0,0,No Event,1279
2023-07-10 15:23:45,22,0,1,0,1,Force Alert,1,16,Force Detection,1284
2023-07-10 15:30:57,31,1,1,1,1,Force Alert,1,6,Force Detection,1287
2023-07-10 16:30:55,59,1,1,0,1,Force Alert,1,8,Force Detection,1293
2023-07-10 16:32:48,64,0,0,0,0,,0,0,No Event,1301
2023-07-10 16:52:25,74,0,1,0,1,Force Alert,1,6,Force Detection,1304
2023-07-10 17:14:27,95,1,0,0,0,,0,0,No Event,1306
2023-07-10 17:22:13,69,0,1,0,1,Force Alert,1,16,Force Detection,1309
2023-07-10 17:40:49,86,1,0,0,0,,0,0,No Event,1312
2023-07-10 18:00:09,46,0,1,0,1,Force Alert,1,8,Force Detection,1317
2023-07-10 18:04:37,1,1,1,1,1,Force Alert,1,6,Force Detection,1319
2023-07-10 18:10:07,97,0,1,0,1,Force Alert,1,8,Force Detection,1322
2023-07-10 18:20:57,97,0,0,0,0,,0,0,No Event,1329
2023-07-10 18:40:54,8,0,1,0,1,Force Alert,1,10,Force Detection,1336
2023-07-10 18:45:02,92,0,0,0,0,,0,0,No Event,1341
2023-07-10 18:55:41,14,0,0,0,0,,0,0,No Event,1343
2023-07-10 19:26:57,9,0,0,0,0,,0,0,No Event,1349
2023-07-10 19:45:42,77,1,1,0,1,Force Alert,1,13,Force Detection,1356
2023-07-10 19:49:22,19,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1362
2023-07-10 19:51:19,56,1,1,0,1,Force Alert,1,19,Force Detection,1363
2023-07-10 20:03:57,20,0,0,0,0,,0,0,No Event,1368
2023-07-10 20:21:24,27,0,1,0,1,Force Alert,1,14,Force Detection,1376
2023-07-10 20:52:47,10,1,1,1,1,Force Alert,1,6,Force Detection,1380
2023-07-10 21:36:55,67,0,0,0,0,,0,0,No Event,1387
2023-07-10 22:34:56,45,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1389
2023-07-10 22:38:20,1,1,1,1,1,Force Alert,1,6,Force Detection,1395
2023-07-10 22:44:40,48,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1403
2023-07-10 23:02:38,91,0,0,0,0,,0,0,No Event,1408
2023-07-10 23:24:21,53,0,1,0,1,Force Alert,1,9,Force Detection,1417
2023-07-10 23:33:24,71,0,1,0,1,Force Alert,1,19,Force Detection,1419
2023-07-11 00:08:36,26,1,1,1,1,Force Alert,1,17,Force Detection,1426
2023-07-11 00:29:31,29,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1433
2023-07-11 00:48:01,16,0,1,0,1,Force Alert,1,15,Force Detection,1439
2023-07-11 00:49:03,34,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1446
2023-07-11 00:59:01,10,1,1,1,1,Force Alert,1,14,Force Detection,1448
2023-07-11 01:21:10,2,0,1,0,1,Force Alert,1,18,Force Detection,1456
2023-07-11 01:27:37,91,0,1,0,1,Force Alert,1,9,Force Detection,1461
2023-07-11 01:39:09,13,0,0,0,0,,0,0,No Event,1464
2023-07-11 01:50:48,87,1,1,0,1,Force Alert,1,6,Force Detection,1465
2023-07-11 01:54:39,40,0,0,0,0,,0,0,No Event,1471
2023-07-11 01:55:21,77,0,1,0,1,Force Alert,1,13,Force Detection,1480
2023-07-11 02:08:10,42,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1488
2023-07-11 02:08:16,42,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1496
2023-07-11 02:08:46,85,1,1,0,1,Force Alert,1,7,Force Detection,1505
2023-07-11 02:09:25,97,1,0,0,0,,0,0,No Event,1511
2023-07-11 02:27:42,72,0,0,0,0,,0,0,No Event,1517
2023-07-11 02:30:21,62,1,0,0,0,,0,0,No Event,1519
2023-07-11 02:35:18,54,1,1,0,1,Force Alert,1,7,Force Detection,1521
2023-07-11 03:05:54,61,0,0,0,0,,0,0,No Event,1523
2023-07-14 17:46:39,12,0,0,0,0,,0,0,No Event,1526
2023-07-14 18:02:55,24,0,1,0,1,Force Alert,1,13,Force Detection,1529
2023-07-14 18:04:39,2,1,1,1,1,Force Alert,1,11,Force Detection,1533
2023-07-14 18:34:12,65,0,1,0,1,Force Alert,1,13,Force Detection,1535
2023-07-14 18:34:29,93,0,0,0,0,,0,0,No Event,1541
2023-07-14 18:43:32,37,1,1,1,1,Force Alert,1,12,Force Detection,1546
2023-07-14 19:57:22,45,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1555
2023-07-14 20:05:41,18,0,0,0,0,,0,0,No Event,1560
2023-07-14 20:27:17,3,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1567
2023-07-14 20:30:28,38,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1568
2023-07-14 21:40:51,85,1,1,0,1,Force Alert,1,14,Force Detection,1573
2023-07-14 21:50:26,69,1,0,0,0,,0,0,No Event,1575
2023-07-14 22:24:13,51,0,1,0,1,Force Alert,1,5,Force Detection,1582
2023-07-14 22:31:53,33,0,0,0,0,,0,0,No Event,1583
2023-07-14 22:49:38,46,1,1,1,1,Force Alert,1,14,Force Detection,1589
2023-07-14 22:53:10,6,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1592
2023-07-14 23:12:07,99,1,0,0,0,,0,0,No Event,1599
2023-07-14 23:24:53,12,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1603
2023-07-14 23:34:29,28,1,1,1,1,Force Alert,1,19,Force Detection,1608
2023-07-14 23:35:19,16,0,1,0,1,Force Alert,1,10,Force Detection,1609
2023-07-14 23:38:00,19,1,1,1,1,Force Alert,1,10,Force Detection,1612
2023-07-14 23:40:33,82,1,1,0,1,Force Alert,1,10,Force Detection,1616
2023-07-14 23:48:15,81,0,1,0,1,Force Alert,1,20,Force Detection,1622
2023-07-14 23:50:01,19,0,1,0,1,Force Alert,1,12,Force Detection,1626
2023-07-14 23:57:13,35,0,0,0,0,,0,0,No Event,1629
2023-07-14 23:59:58,96,0,0,0,0,,0,0,No Event,1638
2023-07-15 00:07:06,92,1,1,0,1,Force Alert,1,20,Force Detection,1641
2023-07-15 00:08:11,37,1,0,1,0,Proximity Warning,1,0,Proximity Detection,1645
2023-07-15 00:23:30,50,1,1,0,1,Force Alert,1,10,Force Detection,1648
2023-07-15 00:49:09,33,0,0,0,0,,0,0,No Event,1656
2023-07-15 00:58:09,14,0,1,0,1,Force Alert,1,13,Force Detection,1660
2023-07-15 01:13:18,40,0,1,0,1,Force Alert,1,10,Force Detection,1669
2023-07-15 01:15:20,61,0,0,0,0,,0,0,No Event,1671
2023-07-15 01:31:52,26,0,1,0,1,Force Alert,1,13,Force Detection,1676
2023-07-15 01:34:10,82,1,1,0,1,Force Alert,1,11,Force Detection,1685
2023-07-15 01:40:47,41,1,1,1,1,Force Alert,1,10,Force Detection,1692
2023-07-15 01:49:11,52,0,0,0,0,,0,0,No Event,1698
2023-07-15 02:04:12,77,1,1,0,1,Force Alert,1,19,Force Detection,1699
2023-07-15 02:10:47,32,0,1,0,1,Force Alert,1,17,Force Detection,1701
2023-07-15 02:11:08,88,0,1,0,1,Force Alert,1,14,Force Detection,1703
2023-07-15 03:15:24,56,1,0,0,0,,0,0,No Event,1704
2023-07-15 03:16:03,90,0,1,0,1,Force Alert,1,6,Force Detection,1712
2023-07-15 03:25:55,28,0,0,0,0,,0,0,No Event,1721
2023-07-15 03:40:29,33,0,1,0,1,Force Alert,1,6,Force Detection,1725
2023-07-15 04:01:41,72,0,1,0,1,Force Alert,1,20,Force Detection,1726
2023-07-15 04:01:53,60,0,1,0,1,Force Alert,1,6,Force Detection,1727
2023-07-15 04:12:24,55,1,0,0,0,,0,0,No Event,1735
2023-07-15 04:18:19,21,1,1,1,1,Force Alert,1,17,Force Detection,1736
2023-07-15 04:18:38,73,0,0,0,0,,0,0,No Event,1741
2023-07-15 04:43:18,6,0,1,0,1,Force Alert,1,9,Force Detection,1748
2023-07-15 04:43:56,61,0,1,0,1,Force Alert,1,15,Force Detection,1750
2023-07-15 04:58:10,63,0,0,0,0,,0,0,No Event,1757
